Namespace(n_epochs=100, batch_size=64, lr=5e-05, n_cpu=8, latent_dim=100, img_size=28, channels=1, n_critic=5, clip_value=0.01, sample_interval=3000)
[Epoch 1/100] [Batch 125/938] [D loss: -0.530885] [G loss: -14.040795]
[Epoch 1/100] [Batch 130/938] [D loss: -0.467506] [G loss: -14.053102]
[Epoch 1/100] [Batch 135/938] [D loss: -0.497330] [G loss: -13.986019]
[Epoch 1/100] [Batch 140/938] [D loss: -0.705572] [G loss: -13.877773]
[Epoch 1/100] [Batch 145/938] [D loss: -0.374176] [G loss: -13.950010]
[Epoch 1/100] [Batch 150/938] [D loss: -0.549895] [G loss: -13.781876]
[Epoch 1/100] [Batch 155/938] [D loss: -0.501493] [G loss: -13.887245]
[Epoch 1/100] [Batch 160/938] [D loss: -0.566722] [G loss: -13.800816]
[Epoch 1/100] [Batch 165/938] [D loss: -0.619624] [G loss: -13.756666]
[Epoch 1/100] [Batch 170/938] [D loss: -0.420357] [G loss: -13.857617]
[Epoch 1/100] [Batch 175/938] [D loss: -0.531639] [G loss: -13.760159]
[Epoch 1/100] [Batch 180/938] [D loss: -0.501678] [G loss: -13.689524]
[Epoch 1/100] [Batch 185/938] [D loss: -0.433158] [G loss: -13.675282]
[Epoch 1/100] [Batch 190/938] [D loss: -0.407990] [G loss: -13.643972]
[Epoch 1/100] [Batch 195/938] [D loss: -0.439902] [G loss: -13.641167]
[Epoch 1/100] [Batch 200/938] [D loss: -0.553481] [G loss: -13.626408]
[Epoch 1/100] [Batch 205/938] [D loss: -0.436060] [G loss: -13.566328]
[Epoch 1/100] [Batch 210/938] [D loss: -0.403816] [G loss: -13.579953]
[Epoch 1/100] [Batch 215/938] [D loss: -0.366655] [G loss: -13.498746]
[Epoch 1/100] [Batch 220/938] [D loss: -0.387927] [G loss: -13.490381]
[Epoch 1/100] [Batch 225/938] [D loss: -0.492581] [G loss: -13.454313]
[Epoch 1/100] [Batch 230/938] [D loss: -0.458415] [G loss: -13.495932]
[Epoch 1/100] [Batch 235/938] [D loss: -0.387112] [G loss: -13.449370]
[Epoch 1/100] [Batch 240/938] [D loss: -0.413639] [G loss: -13.457343]
[Epoch 1/100] [Batch 245/938] [D loss: -0.299378] [G loss: -13.369871]
[Epoch 1/100] [Batch 250/938] [D loss: -0.394646] [G loss: -13.337200]
[Epoch 1/100] [Batch 255/938] [D loss: -0.361316] [G loss: -13.347249]
[Epoch 1/100] [Batch 260/938] [D loss: -0.324935] [G loss: -13.297567]
[Epoch 1/100] [Batch 265/938] [D loss: -0.421421] [G loss: -13.291372]
[Epoch 1/100] [Batch 270/938] [D loss: -0.506972] [G loss: -13.226624]
[Epoch 1/100] [Batch 275/938] [D loss: -0.385137] [G loss: -13.173239]
[Epoch 1/100] [Batch 280/938] [D loss: -0.415933] [G loss: -13.246640]
[Epoch 1/100] [Batch 285/938] [D loss: -0.330949] [G loss: -13.216278]
[Epoch 1/100] [Batch 290/938] [D loss: -0.365090] [G loss: -13.188682]
[Epoch 1/100] [Batch 295/938] [D loss: -0.311769] [G loss: -13.132552]
[Epoch 1/100] [Batch 300/938] [D loss: -0.285532] [G loss: -13.077789]
[Epoch 1/100] [Batch 305/938] [D loss: -0.325191] [G loss: -13.076983]
[Epoch 1/100] [Batch 310/938] [D loss: -0.404925] [G loss: -13.154930]
[Epoch 1/100] [Batch 315/938] [D loss: -0.288840] [G loss: -13.082318]
[Epoch 1/100] [Batch 320/938] [D loss: -0.432020] [G loss: -13.028584]
[Epoch 1/100] [Batch 325/938] [D loss: -0.339070] [G loss: -13.062140]
[Epoch 1/100] [Batch 330/938] [D loss: -0.348823] [G loss: -12.993587]
[Epoch 1/100] [Batch 335/938] [D loss: -0.208497] [G loss: -13.003620]
[Epoch 1/100] [Batch 340/938] [D loss: -0.298187] [G loss: -12.936646]
[Epoch 1/100] [Batch 345/938] [D loss: -0.279325] [G loss: -12.945042]
[Epoch 1/100] [Batch 350/938] [D loss: -0.304426] [G loss: -12.965793]
[Epoch 1/100] [Batch 355/938] [D loss: -0.336542] [G loss: -12.956530]
[Epoch 1/100] [Batch 360/938] [D loss: -0.308565] [G loss: -12.919095]
[Epoch 1/100] [Batch 365/938] [D loss: -0.320113] [G loss: -12.913785]
[Epoch 1/100] [Batch 370/938] [D loss: -0.113035] [G loss: -12.901549]
[Epoch 1/100] [Batch 375/938] [D loss: -0.265087] [G loss: -12.882628]
